loss,r2,loss_test,r2_test
28691890.0,0.9192265519297595,1338098.25,0.9158260519702184
25871662.0,0.9222843897432005,1230555.375,0.9225911000336974
29817792.0,0.9227719026491971,1387457.0,0.9127211109238424
24787802.0,0.9208266986682458,1200925.5,0.9244550008419418
27655556.0,0.9271718433168725,1310346.75,0.9175717809716711
24488968.0,0.9181419298592272,1200015.0,0.9245122647284822
22812634.0,0.9261845626511422,1137361.25,0.9284535497753852
21437854.0,0.931013235912475,1083836.125,0.9318205840605287
21694616.0,0.9337717824130328,1086425.0,0.9316577265416154
26429018.0,0.8953306596508717,1294451.75,0.9185716651554134
19092590.0,0.9387900727378973,981532.5625,0.9382560544656225
17868814.0,0.9322148040756494,933817.375,0.9412576077350528
17397210.0,0.9249651766577475,911356.1875,0.9426705368411239
15263510.0,0.9351346464320766,822183.75,0.9482799943443634
13963930.0,0.9448270029127466,752577.5625,0.9526586194006508
13517957.0,0.9466448713399016,727466.875,0.954238221926863
11309407.0,0.954299394689104,608850.9375,0.9616998362149793
10890991.0,0.9473339548071277,592371.875,0.9627364625125205
10252831.0,0.9564930178335884,548196.5,0.9655153405503728
