loss,r2,loss_test,r2_test
22896572.0,0.9266618660174016,1370410.0,0.9137934546726117
24110420.0,0.9286471549784531,1512201.25,0.9048739920218193
22198172.0,0.9345335604543975,1338100.75,0.9158259023733735
21688496.0,0.9325611646199332,1242232.125,0.9218565761360475
22760724.0,0.9329711857457116,1391221.125,0.9124843233028884
21021782.0,0.9360252433536096,1208090.125,0.9240042948398363
20922844.0,0.9391426582730078,1221158.125,0.9231822458755523
20445552.0,0.9407020656604013,1193968.375,0.9248926428677533
20628822.0,0.9348124554246995,1151016.875,0.9275945387456611
18738000.0,0.9409079055730556,1060792.0,0.9332701939644393
17763808.0,0.9417421656253692,1027127.625,0.9353878669903508
17521984.0,0.9376511997497854,1026853.5625,0.9354051020437237
15291603.0,0.9455877729262322,916724.3125,0.9423328568462545
14304147.0,0.9465677148642794,862092.125,0.9457695355306446
12984996.0,0.9464457908508307,809989.8125,0.9490470628254054
12441770.0,0.9461445740987084,788397.375,0.950405344556039
11982157.0,0.9392376230026477,794655.6875,0.9500116609978584
10302028.0,0.951754528537187,691084.4375,0.9565268861746431
9529108.0,0.9530576758579059,677248.3125,0.9573972552079419
