localepochs,localbatchsize,clients,rounds,r2,mse,rmse,traintime
3,4,5,2,0.9190962329874914,1297220.375,1138.955810546875,9.774683237075806
3,4,5,5,0.9287156315014727,1142981.875,1069.103271484375,16.081732749938965
3,4,5,10,0.9310847490177182,1104995.125,1051.1875,24.835270881652832
3,4,10,2,0.8210783397212345,2868850.75,1693.7681884765625,9.220914840698242
3,4,10,5,0.9244388806972468,1211555.75,1100.7069091796875,12.34271502494812
3,4,10,10,0.9268170430200515,1173424.125,1083.2470703125,17.529714107513428
3,4,25,2,0.13168600639110017,13922647.0,3731.306396484375,11.252278804779053
3,4,25,5,0.8099616759569085,3047096.75,1745.593505859375,13.735481977462769
3,4,25,10,0.9220126210322735,1250458.875,1118.2391357421875,17.157105207443237
3,8,5,2,0.8825801761765905,1882723.0,1372.12353515625,7.6470019817352295
3,8,5,5,0.9255963707130268,1192996.5,1092.2437744140625,10.750116109848022
3,8,5,10,0.9297506190676812,1126386.875,1061.313720703125,15.847191095352173
3,8,10,2,0.45322930880530155,8766985.0,2960.909423828125,7.715642690658569
3,8,10,5,0.9185071213720923,1306666.25,1143.094970703125,9.804539203643799
3,8,10,10,0.9238375396471686,1221197.75,1105.078125,12.646639823913574
3,8,25,2,0.08694157828269333,14640084.0,3826.236328125,10.24090313911438
3,8,25,5,0.3760161863876754,10005029.0,3163.07275390625,11.586847066879272
3,8,25,10,0.9110531191074018,1426184.75,1194.229736328125,13.852565050125122
3,16,5,2,0.6527749281815309,5567447.0,2359.543701171875,6.86034893989563
3,16,5,5,0.9228928919478934,1236344.25,1111.91015625,8.720420122146606
3,16,5,10,0.9285694880000612,1145325.125,1070.1986083984375,11.752392053604126
3,16,10,2,0.1195297271376965,14117562.0,3757.33447265625,7.31524133682251
3,16,10,5,0.8753420795858936,1998779.625,1413.781982421875,8.484308958053589
3,16,10,10,0.9248837195807476,1204423.125,1097.462158203125,10.347647905349731
3,16,25,2,0.05916489232125699,15085459.0,3884.00048828125,10.147863149642944
3,16,25,5,0.14028716124018692,13784736.0,3712.780029296875,10.935826301574707
3,16,25,10,0.8013271432182796,3185544.0,1784.8092041015625,12.495227813720703
5,4,5,2,0.9271688370260724,1167783.25,1080.6402587890625,11.632706880569458
5,4,5,5,0.9304320862596225,1115460.0,1056.1534423828125,20.23819899559021
5,4,5,10,0.937151467116592,1007720.75,1003.8529663085938,34.96675896644592
5,4,10,2,0.9150976645827803,1361333.875,1166.7620849609375,9.569055795669556
5,4,10,5,0.9282574064494347,1150329.125,1072.533935546875,13.829274892807007
5,4,10,10,0.925681498808157,1191631.5,1091.6187744140625,22.89889097213745
5,4,25,2,0.328062451396696,10773924.0,3282.36572265625,11.446794033050537
5,4,25,5,0.9166729424465831,1336075.75,1155.887451171875,14.410263061523438
5,4,25,10,0.925917787878742,1187842.875,1089.882080078125,20.278987884521484
5,8,5,2,0.9221881814371102,1247643.75,1116.979736328125,8.742809057235718
5,8,5,5,0.9288775633784887,1140385.5,1067.8883056640625,13.300184726715088
5,8,5,10,0.9301706909650924,1119651.25,1058.1357421875,20.791277170181274
5,8,10,2,0.8531354259952698,2354843.5,1534.5499267578125,8.299654960632324
5,8,10,5,0.9236140552317809,1224781.25,1106.6983642578125,11.004499912261963
5,8,10,10,0.9291584585692175,1135881.5,1065.7774658203125,15.6385178565979
5,8,25,2,0.13694823939847378,13838272.0,3719.98291015625,10.60838007926941
5,8,25,5,0.8787046133553859,1944864.375,1394.583984375,12.345784187316895
5,8,25,10,0.9236498251707487,1224207.625,1106.439208984375,15.563461780548096
5,16,5,2,0.9017594559155383,1575200.375,1255.06982421875,7.387856960296631
5,16,5,5,0.9285806053429865,1145146.875,1070.1153564453125,10.295835256576538
5,16,5,10,0.9309716871458626,1106808.0,1052.0494384765625,14.211015224456787
5,16,10,2,0.3438822186487782,10520268.0,3243.496337890625,7.647098064422607
5,16,10,5,0.9193532292458014,1293099.75,1137.1453857421875,9.167989015579224
5,16,10,10,0.9291801266731297,1135534.125,1065.6143798828125,11.860882997512817
5,16,25,2,0.09401829902200298,14526615.0,3811.379638671875,10.157885789871216
5,16,25,5,0.6328522644788621,5886889.5,2426.291259765625,11.44721269607544
5,16,25,10,0.9180431600848122,1314105.375,1146.3443603515625,13.424452066421509
15,4,5,2,0.9183811886303386,1308685.5,1143.9779052734375,19.97336983680725
15,4,5,5,0.9326849549778077,1079337.375,1038.91162109375,45.451905965805054
15,4,5,10,0.9456468096213585,871505.4375,933.5445556640625,85.79560613632202
15,4,10,2,0.9280256072229114,1154045.75,1074.2652587890625,14.368821144104004
15,4,10,5,0.9255723331987435,1193381.875,1092.420166015625,27.80492901802063
15,4,10,10,0.9372386124792057,1006323.375,1003.1566772460938,50.58455991744995
15,4,25,2,0.9218903882177236,1252418.625,1119.1151123046875,14.27994418144226
15,4,25,5,0.9306087167125335,1112628.0,1054.8118896484375,22.838214874267578
