runnumber,fraction_fit,localepochs,localbatchsize,clients,rounds,r2,traintime,distribution
81,1.0,5,32,5,10,0.9530138751290884,24.16043996810913,0
82,0.2,5,32,5,10,0.9655156786972415,26.987553119659424,1
83,0.5,5,32,5,10,0.9628228041147309,26.18644618988037,1
84,1.0,5,32,5,10,0.9658928283819127,33.42231202125549,1
85,0.2,5,32,5,15,0.964034957442893,27.99746799468994,0
86,0.5,5,32,5,15,0.9638012463952098,27.437741994857788,0
87,1.0,5,32,5,15,0.9671001497061175,32.74055504798889,0
88,0.2,5,32,5,15,0.9721324816115267,36.03290915489197,1
89,0.5,5,32,5,15,0.9704507345088497,38.80752778053284,1
90,1.0,5,32,5,15,0.973017679567956,43.09572720527649,1
91,0.2,5,32,5,20,0.9671911466955324,35.99030613899231,0
92,0.5,5,32,5,20,0.9698296955232398,35.342710971832275,0
93,1.0,5,32,5,20,0.9710867861503397,41.27892708778381,0
94,0.2,5,32,5,20,0.9670997107039856,43.41694784164429,1
95,0.5,5,32,5,20,0.9731343588102483,41.11923313140869,1
96,1.0,5,32,5,20,0.973571257540572,51.76703119277954,1
97,0.2,5,32,25,5,0.9136549357936566,13.479894161224365,0
98,0.5,5,32,25,5,0.9165668417504647,14.526309728622437,0
99,1.0,5,32,25,5,0.9193449581452328,18.356337785720825,0
100,0.2,5,32,25,5,0.9076478572768496,13.910981178283691,1
101,0.5,5,32,25,5,0.9195137753500213,15.00432014465332,1
102,1.0,5,32,25,5,0.9224427264979258,18.46968984603882,1
103,0.2,5,32,25,10,0.9150429527329801,16.628343105316162,0
104,0.5,5,32,25,10,0.9236088596027984,20.403699159622192,0
105,1.0,5,32,25,10,0.9236635472154608,27.733983993530273,0
106,0.2,5,32,25,10,0.9262314098791756,18.20824909210205,1
107,0.5,5,32,25,10,0.9272987874182423,20.959318161010742,1
108,1.0,5,32,25,10,0.9279947263514012,28.289541006088257,1
109,0.2,5,32,25,15,0.9276114724314515,20.46531629562378,0
110,0.5,5,32,25,15,0.926899011383671,25.95111393928528,0
111,1.0,5,32,25,15,0.927251549503681,37.26303505897522,0
112,0.2,5,32,25,15,0.8821099357463609,22.30854296684265,1
113,0.5,5,32,25,15,0.9337576425120673,27.101839065551758,1
114,1.0,5,32,25,15,0.9330334790048697,38.67442512512207,1
115,0.2,5,32,25,20,0.9229394236933798,23.939351081848145,0
116,0.5,5,32,25,20,0.9262946444742493,31.68632698059082,0
117,1.0,5,32,25,20,0.9266533099331348,47.28432297706604,0
118,0.2,5,32,25,20,0.9207130602039794,27.24854302406311,1
119,0.5,5,32,25,20,0.9376638826910147,33.07306909561157,1
120,1.0,5,32,25,20,0.9384498092154612,47.92843508720398,1
121,0.2,5,32,30,5,0.9155682881535937,13.987167119979858,0
122,0.5,5,32,30,5,0.9152037522722118,16.37326693534851,0
123,1.0,5,32,30,5,0.9145307594537638,19.380996704101562,0
124,0.2,5,32,30,5,0.9212804681952993,14.250524044036865,1
125,0.5,5,32,30,5,0.9202031879058741,15.810930252075195,1
