loss,r2,loss_test,r2_test
224550192.0,0.9771541996258609,1285718.625,0.9191210304127906
217223968.0,0.9816486792131659,1243834.375,0.9217557772612426
216747088.0,0.9779718462980441,1237106.75,0.9221789878012493
232864496.0,0.9710972302189471,1352427.75,0.9149246430644224
222765296.0,0.9878151368806396,1260029.375,0.9207370185473205
212675504.0,0.9783782392275839,1233081.875,0.9224321762962387
238578800.0,0.9701523488358527,1397662.125,0.9120791471439873
208651776.0,0.9866039053216196,1186704.125,0.9253496040155401
199966016.0,0.9873045194321091,1152992.875,0.9274702336265759
210859792.0,0.9858564371015799,1201230.75,0.9244357932532097
216928368.0,0.9863298420736495,1231480.875,0.922532890135614
186071008.0,0.9831987923985815,1085536.625,0.9317136053898286
186636784.0,0.9917324204756405,1068603.75,0.9327787871111515
230251568.0,0.9765379487839926,1290297.375,0.9188329980910086
175898720.0,0.9695180531179864,1055351.625,0.933612416895958
171340720.0,0.9707884474071772,992263.8125,0.9375810044492131
139453808.0,0.983062214878073,848739.0,0.9466095191205358
151593264.0,0.9754904167584457,888251.75,0.9441239407076414
135333312.0,0.9812819931550294,791229.6875,0.9502271765266028
