loss,r2,loss_test,r2_test
5679878.0,0.9012219828468278,1552516.0,0.9023379618102291
5083027.0,0.9060442251215874,1340657.375,0.915665072644295
5787785.0,0.8770556031209109,1246459.75,0.9215906343816174
5130481.0,0.8965203247281165,1275080.25,0.9197902438884258
5550285.5,0.8816308336348613,1257072.625,0.9209230216732779
4381248.0,0.9454749768960148,1598200.875,0.8994641334024452
4766696.0,0.9069652952460969,1226266.75,0.922860884959555
4211460.0,0.9283904526261757,1270836.375,0.9200572045497866
4829652.0,0.9034204835302506,1148102.625,0.9277778489729451
3944391.5,0.9410587021506387,1369798.625,0.9138319183232239
3882635.0,0.9366477447932899,1222394.625,0.9231044653867988
3738056.0,0.9485018334579418,1363421.125,0.9142331110507476
3670971.0,0.9395293913919276,1188657.375,0.9252267308426184
4161870.5,0.9200761662885052,1069944.625,0.9326944296300461
3189072.75,0.9554356989779826,1130013.5,0.9289157627241191
2909416.0,0.9545088688415173,1087135.5,0.9316130260789588
3208792.5,0.9336757513078402,837043.3125,0.9473452429855896
2512035.5,0.9479496452108885,785386.0,0.9505947792307662
1848816.75,0.9795522702461372,953877.0,0.9399957479767783
