loss,r2,loss_test,r2_test
264684912.0,0.8562225179321936,1369629.75,0.9138425502969597
237028432.0,0.8859592542227617,1223443.125,0.9230385072292515
214928992.0,0.8899595992682373,1145330.75,0.927952218498747
149369280.0,0.9042893082115578,871248.9375,0.9451935154330904
139117792.0,0.8820715274448324,844794.375,0.9468576538983727
116746400.0,0.8976499587495282,702672.75,0.9557979093750473
109532232.0,0.8850417106563083,696319.8125,0.9561975476261554
97025184.0,0.8950972583679789,595253.9375,0.962555160165847
79924912.0,0.9115416044999695,528780.0,0.9667367471875049
73526448.0,0.9081950517105184,484868.5625,0.9694990282355785
